"category";"phrase";"situation"
"Seating";"Could you help me find my seat?";"Asking a flight attendant for seat directions"
"Seating";"Is there extra legroom available?";"Requesting more space"
"Safety";"Could you show me how to fasten the seatbelt?";"Asking about safety procedures"
"Safety";"Where is the nearest emergency exit?";"Clarifying exit locations"
"Food/Drink";"Can I get a vegetarian meal?";"Requesting a meal preference"
"Food/Drink";"Could I have some water, please?";"Asking for a drink"
"Entertainment";"How do I use the in-flight entertainment system?";"Requesting help with the screen"
"Entertainment";"Do you have headphones I can borrow?";"Asking for headphones"
"Assistance";"Could you help me with my overhead luggage?";"Asking for help storing bags"
"Assistance";"Is it possible to have a blanket?";"Requesting comfort items"
